Time	Glucose_1	Glucose_2	Glucose_3	Glucose_4	Glucose_5	Glucose_6	Acetate_1	Acetate_2	Acetate_3	Acetate_4	Acetate_5	Acetate_6	Nosub_1	Nosub_2	Nosub_3	Nosub_4	Nosub_5	Nosub_6
0.5	0.098	0.095	0.097	0.096	0.097	0.097	0.098	0.095	0.097	0.096	0.096	0.1	0.102	0.102	0.1	0.102	0.098	0.102
1	0.097	0.094	0.1	0.099	0.1	0.096	0.097	0.094	0.097	0.095	0.095	0.099	0.101	0.099	0.097	0.099	0.096	0.101
1.5	0.096	0.093	0.101	0.1	0.1	0.095	0.096	0.093	0.096	0.094	0.094	0.098	0.1	0.098	0.095	0.097	0.095	0.1
2	0.095	0.093	0.101	0.1	0.1	0.094	0.096	0.092	0.096	0.094	0.094	0.098	0.099	0.097	0.094	0.096	0.095	0.099
2.5	0.095	0.092	0.1	0.099	0.099	0.094	0.096	0.092	0.096	0.094	0.094	0.097	0.098	0.097	0.093	0.095	0.094	0.099
3	0.094	0.092	0.1	0.099	0.099	0.094	0.096	0.092	0.097	0.094	0.094	0.097	0.097	0.095	0.092	0.094	0.094	0.096
3.5	0.094	0.091	0.1	0.099	0.099	0.093	0.095	0.092	0.097	0.094	0.094	0.097	0.097	0.095	0.091	0.093	0.096	0.096
4	0.093	0.091	0.099	0.097	0.099	0.093	0.097	0.092	0.095	0.094	0.094	0.097	0.098	0.098	0.09	0.092	0.093	0.093
4.5	0.093	0.091	0.099	0.097	0.099	0.092	0.099	0.093	0.095	0.095	0.094	0.097	0.099	0.096	0.089	0.091	0.093	0.092
5	0.095	0.09	0.099	0.097	0.099	0.092	0.109	0.1	0.102	0.096	0.094	0.097	0.1	0.099	0.089	0.091	0.092	0.091
5.5	0.1	0.09	0.099	0.097	0.099	0.094	0.11	0.103	0.111	0.106	0.094	0.098	0.101	0.101	0.089	0.09	0.091	0.091
6	0.099	0.091	0.101	0.097	0.103	0.094	0.111	0.106	0.112	0.109	0.102	0.099	0.099	0.102	0.089	0.091	0.088	0.09
6.5	0.1	0.093	0.102	0.097	0.102	0.095	0.11	0.108	0.112	0.111	0.104	0.101	0.098	0.101	0.09	0.09	0.088	0.09
7	0.101	0.095	0.103	0.096	0.101	0.095	0.151	0.11	0.113	0.111	0.108	0.106	0.097	0.1	0.091	0.093	0.088	0.09
7.5	0.102	0.099	0.104	0.098	0.102	0.095	0.113	0.109	0.115	0.11	0.111	0.11	0.097	0.1	0.091	0.095	0.087	0.09
8	0.102	0.099	0.104	0.099	0.103	0.095	0.116	0.113	0.116	0.106	0.112	0.114	0.095	0.1	0.093	0.116	0.088	0.09
8.5	0.102	0.098	0.104	0.1	0.106	0.098	0.119	0.114	0.118	0.111	0.115	0.117	0.095	0.101	0.109	0.108	0.087	0.09
9	0.101	0.096	0.105	0.101	0.107	0.1	0.118	0.114	0.122	0.115	0.115	0.117	0.095	0.099	0.099	0.136	0.088	0.091
9.5	0.102	0.096	0.105	0.1	0.105	0.097	0.122	0.118	0.122	0.119	0.117	0.122	0.094	0.099	0.098	0.095	0.088	0.092
10	0.103	0.098	0.105	0.1	0.106	0.101	0.126	0.122	0.123	0.123	0.121	0.128	0.094	0.098	0.1	0.097	0.092	0.091
10.5	0.104	0.098	0.106	0.105	0.108	0.099	0.13	0.126	0.126	0.129	0.127	0.135	0.094	0.097	0.099	0.101	0.095	0.093
11	0.104	0.098	0.11	0.107	0.11	0.101	0.135	0.131	0.131	0.134	0.131	0.138	0.094	0.099	0.098	0.097	0.094	0.092
11.5	0.104	0.1	0.111	0.107	0.112	0.101	0.139	0.136	0.136	0.139	0.136	0.143	0.094	0.099	0.098	0.098	0.093	0.092
12	0.107	0.103	0.114	0.11	0.113	0.103	0.143	0.141	0.142	0.144	0.142	0.151	0.094	0.097	0.096	0.1	0.094	0.092
12.5	0.109	0.106	0.117	0.112	0.116	0.105	0.15	0.147	0.147	0.151	0.148	0.153	0.095	0.104	0.096	0.099	0.093	0.093
13	0.112	0.109	0.119	0.114	0.118	0.108	0.156	0.154	0.154	0.158	0.154	0.161	0.094	0.099	0.096	0.096	0.093	0.093
13.5	0.115	0.113	0.122	0.118	0.122	0.111	0.163	0.161	0.161	0.165	0.161	0.169	0.095	0.101	0.096	0.097	0.096	0.093
14	0.118	0.116	0.125	0.121	0.126	0.114	0.17	0.17	0.17	0.174	0.17	0.173	0.095	0.101	0.096	0.097	0.094	0.093
14.5	0.121	0.12	0.129	0.123	0.129	0.117	0.18	0.18	0.179	0.183	0.179	0.182	0.095	0.102	0.093	0.097	0.094	0.093
15	0.125	0.124	0.134	0.128	0.134	0.119	0.19	0.19	0.189	0.194	0.189	0.195	0.095	0.097	0.094	0.098	0.092	0.093
15.5	0.129	0.128	0.138	0.132	0.138	0.123	0.202	0.202	0.202	0.207	0.201	0.207	0.094	0.097	0.091	0.096	0.093	0.093
16	0.133	0.132	0.142	0.135	0.141	0.127	0.216	0.217	0.216	0.224	0.216	0.22	0.095	0.097	0.092	0.105	0.092	0.093
16.5	0.137	0.137	0.148	0.141	0.147	0.132	0.233	0.235	0.233	0.241	0.233	0.234	0.095	0.102	0.095	0.119	0.093	0.093
17	0.142	0.142	0.153	0.145	0.153	0.136	0.253	0.254	0.253	0.263	0.253	0.251	0.095	0.097	0.093	0.098	0.092	0.093
17.5	0.148	0.148	0.158	0.15	0.158	0.14	0.263	0.263	0.261	0.271	0.264	0.27	0.095	0.103	0.093	0.1	0.091	0.093
18	0.153	0.155	0.166	0.156	0.165	0.144	0.26	0.26	0.258	0.269	0.26	0.271	0.095	0.106	0.093	0.124	0.091	0.093
18.5	0.16	0.161	0.173	0.163	0.172	0.15	0.259	0.257	0.255	0.266	0.257	0.268	0.095	0.096	0.099	0.099	0.09	0.093
19	0.167	0.169	0.179	0.168	0.179	0.156	0.256	0.255	0.253	0.264	0.256	0.263	0.095	0.096	0.097	0.1	0.091	0.093
19.5	0.174	0.176	0.189	0.177	0.188	0.162	0.256	0.253	0.251	0.262	0.254	0.262	0.095	0.103	0.106	0.104	0.09	0.093
20	0.183	0.185	0.197	0.184	0.197	0.169	0.255	0.253	0.25	0.26	0.253	0.26	0.095	0.096	0.095	0.101	0.093	0.093
20.5	0.192	0.194	0.206	0.192	0.206	0.177	0.253	0.251	0.249	0.259	0.251	0.259	0.095	0.101	0.097	0.095	0.09	0.093
21	0.202	0.205	0.218	0.203	0.218	0.185	0.254	0.25	0.248	0.258	0.251	0.257	0.095	0.095	0.104	0.108	0.09	0.093
21.5	0.211	0.216	0.23	0.213	0.23	0.194	0.254	0.25	0.247	0.258	0.251	0.256	0.095	0.096	0.097	0.118	0.09	0.093
22	0.224	0.228	0.241	0.223	0.24	0.203	0.254	0.247	0.247	0.257	0.25	0.255	0.095	0.096	0.104	0.104	0.09	0.093
22.5	0.237	0.241	0.255	0.236	0.256	0.214	0.253	0.248	0.247	0.256	0.249	0.254	0.095	0.095	0.099	0.101	0.09	0.093
23	0.249	0.255	0.27	0.249	0.27	0.225	0.253	0.247	0.246	0.256	0.248	0.254	0.095	0.1	0.097	0.105	0.09	0.093
23.5	0.265	0.271	0.285	0.263	0.286	0.237	0.252	0.247	0.246	0.256	0.248	0.253	0.095	0.097	0.098	0.1	0.09	0.093
24	0.28	0.285	0.304	0.278	0.304	0.25	0.252	0.246	0.246	0.256	0.248	0.254	0.095	0.096	0.099	0.096	0.099	0.093
24.5	0.297	0.303	0.32	0.296	0.321	0.263	0.251	0.246	0.245	0.254	0.247	0.253	0.095	0.1	0.094	0.105	0.09	0.093
25	0.315	0.319	0.325	0.312	0.317	0.279	0.253	0.246	0.244	0.254	0.248	0.251	0.095	0.096	0.099	0.104	0.09	0.093
25.5	0.313	0.313	0.321	0.319	0.314	0.295	0.252	0.246	0.244	0.254	0.246	0.251	0.095	0.104	0.093	0.096	0.09	0.093
26	0.309	0.31	0.317	0.314	0.31	0.312	0.25	0.245	0.244	0.254	0.247	0.25	0.095	0.096	0.095	0.097	0.09	0.093
26.5	0.306	0.304	0.313	0.31	0.307	0.31	0.252	0.246	0.244	0.253	0.247	0.249	0.095	0.107	0.094	0.1	0.09	0.093
27	0.304	0.303	0.313	0.307	0.306	0.305	0.251	0.245	0.244	0.254	0.247	0.249	0.095	0.104	0.095	0.094	0.09	0.093
27.5	0.302	0.302	0.31	0.305	0.304	0.301	0.251	0.244	0.244	0.253	0.247	0.248	0.095	0.1	0.091	0.096	0.09	0.093
28	0.302	0.3	0.309	0.303	0.303	0.298	0.25	0.245	0.243	0.253	0.247	0.249	0.095	0.105	0.109	0.095	0.09	0.093