Time (hours)	Glc_A	Glc_B	Glc_C	Ac_D	Ac_E	Ac_F	Blank_G
0	-0.0169525	0.0729358	0.0686388	0.0702754	0.0766121	0.0802976	0.087434
0.47055	0.0790533	0.0894298	0.0752204	0.0882453	0.0870457	0.105649	0.0867421
0.9411	0.0861943	0.113878	0.0892124	0.101381	0.102066	0.107677	0.0930243
1.41165	0.101927	0.112475	0.0971531	0.0986505	0.12914	0.115325	0.103877
1.8822	0.110651	0.111467	0.0920965	0.0938027	0.105036	0.110951	0.0971062
2.35275	0.116136	0.119324	0.0919097	0.0963556	0.108635	0.116309	0.100635
2.8233	0.099051	0.109314	0.0955227	0.103632	0.0999531	0.113988	0.0904712
3.29385	0.107422	0.107286	0.0966144	0.103455	0.105368	0.118036	0.0845828
3.7644	0.102884	0.101345	0.0900548	0.101351	0.106499	0.112352	0.0846072
4.23495	0.0992044	0.0990237	0.0845831	0.102802	0.105325	0.104019	0.053789
4.7055	0.109002	0.0902245	0.0906501	0.0862545	0.13025	0.103174	0.0652317
5.17605	0.0773875	0.0851466	0.0651709	0.0903449	0.105176	0.104869	0.0644275
5.6466	0.080404	0.077722	0.0758559	0.107334	0.103955	0.113284	0.0607111
6.11715	0.0756367	0.0789386	0.0653225	0.110322	0.104419	0.124028	0.0649823
6.5877	0.0869294	0.0718835	0.0659133	0.113613	0.107418	0.131239	0.0555096
7.05825	0.082054	0.0868519	0.0765554	0.124543	0.126293	0.126102	0.0625212
7.5288	0.0856998	0.0779019	0.0673375	0.127349	0.12441	0.143692	0.0561326
7.99935	0.0843051	0.0790978	0.0643479	0.128934	0.124063	0.144904	0.0503115
8.4699	0.0778767	0.0796951	0.0682655	0.152345	0.142864	0.160661	0.0528039
8.94045	0.0353845	0.0433519	0.0309985	0.123881	0.124263	0.127679	0.0192739
9.411	0.0582216	0.0563779	0.0480929	0.131228	0.13769	0.146996	0.02811
9.88155	0.0511873	0.0562996	0.0514446	0.14833	0.122326	0.162797	0.0321906
10.3521	0.0625781	0.069432	0.0562389	0.156478	0.179209	0.177658	0.026554
10.82265	0.0761528	0.0690439	0.0654311	0.174663	0.175596	0.198378	0.0398062
11.2932	0.0725635	0.0813451	0.0567978	0.194033	0.192935	0.215406	0.0373549
11.76375	0.0812719	0.0814655	0.0710614	0.204509	0.209673	0.228832	0.0498515
12.2343	0.0758607	0.080185	0.0665986	0.223864	0.23024	0.250539	0.0365035
12.70485	0.0936452	0.0960059	0.08296	0.248605	0.236191	0.264635	0.0400809
13.1754	0.0531418	0.0699689	0.058005	0.260358	0.251413	0.268099	0.00488874
13.64595	0.0677403	0.0756547	0.0513105	0.287499	0.276967	0.28776	0.00977824
14.1165	0.085013	0.0807672	0.0800344	0.307276	0.310635	0.325216	0.0133677
14.58705	0.0956101	0.0998645	0.0663049	0.355627	0.333113	0.349854	0.0477356
15.0576	0.10785	0.105841	0.0788138	0.376158	0.356921	0.387476	0.0247759
15.52815	0.112776	0.117636	0.087649	0.429842	0.39562	0.415032	0.0324312
15.9987	0.122584	0.134187	0.0926855	0.449891	0.42704	0.446815	0.0177398
16.46925	0.110361	0.124312	0.0828123	0.493715	0.443758	0.480331	0.0165476
16.9398	0.12316	0.116495	0.0935399	0.534956	0.482558	0.527238	0.0337633
17.41035	0.130655	0.147463	0.103145	0.598118	0.533825	0.581631	0.124361
17.8809	0.142802	0.158176	0.114792	0.649817	0.585724	0.627074	0.0362398
18.35145	0.159957	0.170156	0.129751	0.700652	0.615026	0.709275	0.027102
18.822	0.167865	0.17628	0.132125	0.769101	0.682544	0.743413	0.0399274
19.29255	0.178918	0.191214	0.145639	0.738544	0.764798	0.815595	0.036411
19.7631	0.189379	0.204733	0.159795	0.655978	0.755173	0.893102	0.0432795
20.23365	0.204425	0.223249	0.180267	0.6143	0.691247	0.819228	0.0399157
20.7042	0.211078	0.241695	0.169746	0.573026	0.644691	0.760149	0.0446816
21.17475	0.228305	0.263698	0.190946	0.514413	0.588193	0.701946	0.0357076
21.6453	0.237371	0.280089	0.210734	0.472374	0.543562	0.640782	0.0266008
22.11585	0.264059	0.293921	0.224734	0.432153	0.507751	0.585239	0.0491468
22.5864	0.277699	0.322876	0.236725	0.393464	0.470208	0.535921	0.0450384
23.05695	0.298705	0.347455	0.250962	0.356903	0.426436	0.496442	0.0378052
23.5275	0.324966	0.366239	0.26986	0.333258	0.403755	0.458464	0.0368845
23.99805	0.377215	0.436586	0.284649	0.302191	0.377287	0.405301	0.0415738
24.4686	0.353072	0.455912	0.291646	0.287224	0.340978	0.376123	0.0378717
24.93915	0.398135	0.487033	0.316299	0.263899	0.324185	0.365844	0.0405058
25.4097	0.418231	0.518233	0.342962	0.24175	0.3091	0.334648	0.0310052
25.88025	0.445826	0.549473	0.342103	0.222486	0.288988	0.308503	0.0327544
26.3508	0.480553	0.599974	0.392926	0.213987	0.260145	0.293535	0.0308186
26.82135	0.522127	0.632763	0.416376	0.195175	0.24437	0.260459	0.0272675
27.2919	0.517833	0.678927	0.428808	0.175297	0.223382	0.247262	0.0399223
27.76245	0.557088	0.699047	0.446201	0.172439	0.212531	0.229554	0.0257285
28.233	0.571848	0.74085	0.481832	0.160726	0.199464	0.220507	0.0343686
28.70355	0.646644	0.713101	0.508893	0.151411	0.196181	0.207671	0.0422685
29.1741	0.700238	0.622	0.52822	0.143678	0.167471	0.187863	